Date,adj_close,return_1d,next_day_return,target,predicted_direction,prob_up,regime,garch_vol_forecast,position_size,final_position,best_position,strategy_return,strategy_return_net,best_strategy_return,buy_hold_return,cumulative_strategy,cumulative_strategy_net,cumulative_buy_hold,buyhold_position,Buy_Hold_gross_return,Buy_Hold_turnover,Buy_Hold_cost,Buy_Hold_net_return,Buy_Hold_cum_gross,Buy_Hold_cum_net
2025-01-02,5868.5498046875,-0.0022238866412221,0.0125960267214919,1,1,0.6324442,Bear,0.9622205427870196,0.7794470879073789,0.7794470879073789,0.7794470879073789,0.0098179363472703,0.009038489259363,0.0098179363472703,0.0125960267214919,1.0098179363472704,1.0090384892593631,1.012596026721492,1.0,0.0125960267214919,1.0,0.0,0.0125960267214919,1.012596026721492,1.012596026721492
2025-01-03,5942.47021484375,0.0125960267214919,0.0055380450854503,1,0,0.47489393,High_Vol,1.0080211376663135,0.7440320167653799,0.0,0.0,0.0,-0.0007794470879073,0.0,0.0055380450854503,1.0098179363472704,1.0082519971473234,1.0182038291708235,1.0,0.0055380450854503,0.0,0.0,0.0055380450854503,1.0182038291708235,1.0182038291708235
2025-01-06,5975.3798828125,0.0055380450854503,-0.0111039128821078,0,1,0.5301971,Bull,0.947013330117004,0.7919635090113643,0.7919635090113643,0.7919635090113643,-0.0087938938098705,-0.0095858573188819,-0.0087938938098705,-0.0111039128821078,1.0009377046477297,0.9985870373611914,1.006897782555482,1.0,-0.0111039128821078,0.0,0.0,-0.0111039128821078,1.0068977825554821,1.0068977825554821
2025-01-07,5909.02978515625,-0.0111039128821078,0.0015603601909253,1,0,0.44036907,Bull,1.00440272075702,0.7467124336687616,0.0,0.0,0.0,-0.0007919635090113,0.0,0.0015603601909253,1.0009377046477297,0.9977961928670296,1.0084689057717129,1.0,0.0015603601909253,0.0,0.0,0.0015603601909253,1.0084689057717127,1.0084689057717127
2025-01-08,5918.25,0.0015603601909253,-0.0154116438030668,0,0,0.3662527,Bull,0.9252492358506555,0.8105924014197807,0.0,0.0,-0.0,-0.0,-0.0,-0.0154116438030668,1.0009377046477297,0.9977961928670296,0.9929267422094904,1.0,-0.0154116438030668,0.0,0.0,-0.0154116438030668,0.9929267422094905,0.9929267422094905
2025-01-10,5827.0400390625,-0.0154116438030668,0.0015754440882007,1,0,0.32652447,Bull,1.08724073596049,0.6898196279754318,0.0,0.0,0.0,0.0,0.0,0.0015754440882007,1.0009377046477297,0.9977961928670296,0.9944910427755208,1.0,0.0015754440882007,0.0,0.0,0.0015754440882007,0.9944910427755209,0.9944910427755209
2025-01-13,5836.22021484375,0.0015754440882007,0.001146279811244,1,0,0.42384627,Bull,1.0000504746913157,0.7499621458921878,0.0,0.0,0.0,0.0,0.0,0.001146279811244,1.0009377046477297,0.9977961928670296,0.9956310077803175,1.0,0.001146279811244,0.0,0.0,0.001146279811244,0.9956310077803175,0.9956310077803175
2025-01-14,5842.91015625,0.001146279811244,0.0183127922796391,1,1,0.57030326,Bull,0.92133497006673,0.8140361805062923,0.8140361805062923,0.8140361805062923,0.0149072754817225,0.0140932393012162,0.0149072754817225,0.0183127922796391,1.0158589587509563,1.0118583733869473,1.0138637916129662,1.0,0.0183127922796391,0.0,0.0,0.0183127922796391,1.0138637916129662,1.0138637916129662
2025-01-15,5949.91015625,0.0183127922796391,-0.0021126894641922,0,1,0.60357416,Bull,1.109710129404749,0.6758521708748407,0.6758521708748407,0.6758521708748407,-0.0014278657607587,-0.0015660497703901,-0.0014278657607587,-0.0021126894641922,1.014408448525996,1.0102737528136374,1.0117218122622995,1.0,-0.0021126894641922,0.0,0.0,-0.0021126894641922,1.0117218122622995,1.0117218122622995
2025-01-16,5937.33984375,-0.0021126894641922,0.0099910589693537,1,1,0.53754216,Bull,1.028078085746806,0.7295165711612193,0.7295165711612193,0.7295165711612193,0.0072886430815924,0.007234978681306,0.0072886430815924,0.0099910589693537,1.0218021096462535,1.0175830618775272,1.0218299845491936,1.0,0.0099910589693537,0.0,0.0,0.0099910589693537,1.0218299845491936,1.0218299845491936
2025-01-17,5996.66015625,0.0099910589693537,0.0087682271055828,1,1,0.6706844,Bull,1.016637358877934,0.7377261847113089,0.7377261847113089,0.7377261847113089,0.0064685507292838,0.0064603411157337,0.0064685507292838,0.0087682271055828,1.0284116884277898,1.024156995570849,1.0307896219170152,1.0,0.0087682271055828,0.0,0.0,0.0087682271055828,1.0307896219170152,1.0307896219170152
2025-01-21,6049.240234375,0.0087682271055828,0.0061379415222275,1,0,0.4510353,Bull,0.9895995152410842,0.7578823437653832,0.0,0.0,0.0,-0.0007377261847113,0.0,0.0061379415222275,1.0284116884277898,1.023401448137961,1.0371165483380609,1.0,0.0061379415222275,0.0,0.0,0.0061379415222275,1.0371165483380609,1.0371165483380609
2025-01-22,6086.3701171875,0.0061379415222275,0.0053134862204113,1,1,0.696289,Bull,0.936354954055768,0.8009783007516731,0.8009783007516731,0.8009783007516731,0.0042559871638924,0.0034550088631408,0.0042559871638924,0.0053134862204113,1.0327885953729357,1.0269373092118288,1.0426272528266158,1.0,0.0053134862204113,0.0,0.0,0.0053134862204113,1.0426272528266158,1.0426272528266158
2025-01-23,6118.7099609375,0.0053134862204113,-0.0028551323193988,0,0,0.37188426,Bull,0.8821795552096513,0.8501670613096008,0.0,0.0,-0.0,-0.0008009783007516,-0.0,-0.0028551323193988,1.0327885953729357,1.0261147547109175,1.0396504140599845,1.0,-0.0028551323193988,0.0,0.0,-0.0028551323193988,1.0396504140599845,1.0396504140599845
2025-01-24,6101.240234375,-0.0028551323193988,-0.0145807156908095,0,0,0.4612841,Bull,0.8301596741917369,0.9034406552332452,0.0,0.0,-0.0,-0.0,-0.0,-0.0145807156908095,1.0327885953729357,1.0261147547109175,1.0244915669547434,1.0,-0.0145807156908095,0.0,0.0,-0.0145807156908095,1.0244915669547434,1.0244915669547434
2025-01-27,6012.27978515625,-0.0145807156908095,0.0092178694499676,1,0,0.27930996,Bull,0.9983659196358506,0.7512275662149596,0.0,0.0,0.0,0.0,0.0,0.0092178694499676,1.0327885953729357,1.0261147547109175,1.033935196471525,1.0,0.0092178694499676,0.0,0.0,0.0092178694499676,1.033935196471525,1.033935196471525
2025-01-28,6067.7001953125,0.0092178694499676,-0.0046788957603215,0,1,0.55158347,Bull,0.9803162568650636,0.7650592293536087,0.7650592293536087,0.7650592293536087,-0.0035796323846174,-0.004344691613971,-0.0035796323846174,-0.0046788957603215,1.029091591870475,1.021656602541153,1.0290975214643072,1.0,-0.0046788957603215,0.0,0.0,-0.0046788957603215,1.0290975214643072,1.0290975214643072
